time,p0,m0.25,m0.5,m1,m2,m3,m5,m8,m10,m15,m18.8
2019-05-17 0:00,5.097,5.255,3.4,-0.501,-0.211,-0.106,0.005,-0.025,-0.063,-0.048,0.281
2019-05-17 1:00,4.655,4.943,3.356,-0.502,-0.212,-0.107,0.004,-0.025,-0.064,-0.049,0.28
2019-05-17 2:00,4.313,4.658,3.309,-0.503,-0.213,-0.108,0.004,-0.025,-0.064,-0.05,0.279
2019-05-17 3:00,4.303,4.604,3.266,-0.503,-0.214,-0.109,0.004,-0.026,-0.065,-0.05,0.278
2019-05-17 4:00,5.263,5.005,3.262,-0.503,-0.214,-0.109,0.004,-0.026,-0.065,-0.051,0.278
2019-05-17 5:00,4.647,4.582,3.215,-0.503,-0.215,-0.109,0.004,-0.026,-0.065,-0.051,0.277
2019-05-17 6:00,4.137,4.332,3.153,-0.503,-0.215,-0.11,0.003,-0.027,-0.066,-0.051,0.277
2019-05-17 7:00,4.909,4.774,3.148,-0.503,-0.216,-0.11,0.003,-0.027,-0.066,-0.052,0.276
2019-05-17 8:00,7.115,6.025,3.204,-0.502,-0.216,-0.11,0.003,-0.027,-0.066,-0.052,0.276
2019-05-17 9:00,8.74,6.806,3.251,-0.5,-0.216,-0.111,0.003,-0.027,-0.067,-0.052,0.276
2019-05-17 10:00,8.737,6.762,3.226,-0.499,-0.216,-0.111,0.003,-0.027,-0.067,-0.052,0.276
2019-05-17 11:00,8.799,6.997,3.218,-0.499,-0.217,-0.111,0.003,-0.027,-0.067,-0.053,0.275
2019-05-17 12:00,10.593,8.031,3.279,-0.498,-0.217,-0.111,0.003,-0.028,-0.067,-0.053,0.275
2019-05-17 13:00,10.849,8.481,3.271,-0.497,-0.217,-0.111,0.003,-0.028,-0.067,-0.053,0.275
2019-05-17 14:00,13.838,10.272,3.414,-0.495,-0.217,-0.111,0.003,-0.028,-0.067,-0.053,0.275
2019-05-17 15:00,19.491,14.27,3.704,-0.492,-0.217,-0.112,0.003,-0.028,-0.068,-0.053,0.275
2019-05-17 16:00,20.719,15.657,3.748,-0.489,-0.217,-0.111,0.003,-0.028,-0.068,-0.053,0.275
2019-05-17 17:00,20.985,15.62,3.892,-0.487,-0.217,-0.112,0.003,-0.028,-0.068,-0.053,0.275
2019-05-17 18:00,17.783,12.266,3.754,-0.485,-0.217,-0.112,0.003,-0.028,-0.068,-0.053,0.275
2019-05-17 19:00,15.257,11.718,3.647,-0.488,-0.217,-0.112,0.003,-0.028,-0.068,-0.053,0.274
2019-05-17 20:00,13.043,9.967,3.535,-0.487,-0.217,-0.112,0.003,-0.028,-0.068,-0.053,0.274
2019-05-17 21:00,12.401,9.274,3.486,-0.488,-0.218,-0.112,0.003,-0.028,-0.068,-0.054,0.274
2019-05-17 22:00,10.026,7.935,3.367,-0.49,-0.218,-0.112,0.003,-0.028,-0.068,-0.054,0.274
2019-05-17 23:00,8.883,7.257,3.3,-0.49,-0.218,-0.113,0.003,-0.029,-0.069,-0.054,0.274
2019-05-18 0:00,8.456,7.002,3.276,-0.49,-0.218,-0.113,0.003,-0.029,-0.069,-0.054,0.274
2019-05-18 1:00,7.159,6.334,3.218,-0.491,-0.218,-0.113,0.002,-0.029,-0.069,-0.054,0.274
2019-05-18 2:00,6.573,5.954,3.171,-0.491,-0.218,-0.113,0.002,-0.029,-0.069,-0.054,0.274
2019-05-18 3:00,6.341,5.756,3.141,-0.491,-0.218,-0.113,0.002,-0.029,-0.069,-0.054,0.274
2019-05-18 4:00,5.897,5.452,3.105,-0.491,-0.218,-0.113,0.002,-0.029,-0.069,-0.054,0.273
2019-05-18 5:00,5.437,5.147,3.062,-0.491,-0.218,-0.113,0.002,-0.029,-0.069,-0.054,0.273
2019-05-18 6:00,5.216,4.968,3.028,-0.491,-0.218,-0.113,0.002,-0.029,-0.069,-0.054,0.273
