RBR XR-420  5.40 012056 (Windows: 6.13 - Minimum required: 5.11)
Host time     19/06/30 20:59:53
Logger time   19/06/30 21:01:21
Logging start 18/08/01 11:00:00
Logging end   26/08/01 11:00:00
Sample period          08:00:00
Number of channels =  8, number of samples =   1001, mode: Logging Stopped by User
N08%9.4f
Calibration  1: 0.004322570446620
                -0.000277846908580
                0.000003633623360
                -0.000000127546420 Degrees_C
Calibration  2: 0.004322598091600
                -0.000277865390420
                0.000003645638560
                -0.000000130380310 Degrees_C
Calibration  3: 0.004322471848990
                -0.000277855826490
                0.000003641321990
                -0.000000129694670 Degrees_C
Calibration  4: 0.004322316206420
                -0.000277838732040
                0.000003632299620
                -0.000000127458190 Degrees_C
Calibration  5: 0.004322571772840
                -0.000277842355080
                0.000003631396360
                -0.000000127435360 Degrees_C
Calibration  6: 0.004322421956680
                -0.000277833086750
                0.000003630256850
                -0.000000127322460 Degrees_C
Calibration  7: 0.004322371885380
                -0.000278014712690
                0.000003747031430
                -0.000000160865910 Degrees_C
Calibration  8: 0.004322837882030
                -0.000277851685740
                0.000003633921760
                -0.000000127878440 Degrees_C
COMMENT: NC-01
Memory type: 3 AT45DB642
Logger start:Start of logging 

     Temp      Temp      Temp      Temp      Temp      Temp      Temp      Temp 
-143.0841 -142.0261 -142.9275 -142.8223 -142.9337 -141.9273 -143.5679 -142.8871 
-142.1740 -143.2393 -141.9363 -142.7154 -142.5922 -142.9914 -143.2287 -142.3648 
-144.0130 -142.2785 -142.7560 -142.5996 -143.2125 -141.9559 -143.9810 -142.3447 
-142.6302 -143.2168 -143.2267 -142.5269 -143.0773 -142.2481 -143.2080 -142.9524 
-142.3934 -143.2733 -142.0987 -143.4762 -142.3162 -142.7101 -143.8670 -142.3447 
-142.5469 -143.2961 -142.8091 -142.9417 -142.6340 -142.1298 -144.6300 -143.1408 
-142.5989 -143.5395 -143.7187 -143.2897 -142.5714 -142.6889 -143.7104 -143.4507 
  17.0738   16.2978    5.0478   -0.4443   -2.0609   -3.4370   -3.9520   -3.9917 
   6.8627    6.7985    4.2279   -0.4321   -2.0533   -3.4327   -3.9500   -3.9924 
  12.4413   11.8271    4.4519   -0.4158   -2.0461   -3.4282   -3.9486   -3.9928 
  18.4475   18.5114    6.1711   -0.3955   -2.0376   -3.4250   -3.9469   -3.9933 
   8.4338    8.5442    5.2410   -0.3744   -2.0297   -3.4207   -3.9453   -3.9929 
   8.7945    8.5730    5.0909   -0.3512   -2.0230   -3.4160   -3.9443   -3.9934 
  14.2711   14.0638    5.9636   -0.3290   -2.0147   -3.4125   -3.9419   -3.9932 
   8.2096    8.0840    5.2896   -0.3078   -2.0072   -3.4077   -3.9404   -3.9937 
   8.2345    7.7175    4.8673   -0.2896   -2.0001   -3.4041   -3.9392   -3.9943 
  12.2543   12.5454    5.4705   -0.2708   -1.9922   -3.3997   -3.9370   -3.9938 
   5.0913    5.1383    4.5849   -0.2565   -1.9849   -3.3962   -3.9349   -3.9946 
  13.1413   12.3590    4.8857   -0.2397   -1.9765   -3.3916   -3.9335   -3.9951 
   8.8179    9.2532    5.2118   -0.2270   -1.9690   -3.3878   -3.9327   -3.9953 
   6.1192    5.9563    4.4159   -0.2116   -1.9616   -3.3831   -3.9311   -3.9955 
   5.3052    4.9537    3.9159   -0.1963   -1.9537   -3.3794   -3.9282   -3.9957 
   8.6689    8.4101    4.3957   -0.1833   -1.9462   -3.3754   -3.9268   -3.9957 
   2.5039    2.6527    3.5314   -0.1723   -1.9388   -3.3714   -3.9252   -3.9962 
   6.1722    5.5601    3.0243   -0.1643   -1.9313   -3.3681   -3.9247   -3.9963 
  10.1945   10.2892    4.1299   -0.1583   -1.9229   -3.3631   -3.9220   -3.9961 
   2.6361    2.7310    3.2756   -0.1530   -1.9157   -3.3590   -3.9201   -3.9963 
   8.3159    7.0085    3.1618   -0.1447   -1.9077   -3.3554   -3.9181   -3.9964 
   9.4293    9.0865    3.9410   -0.1372   -1.9002   -3.3518   -3.9170   -3.9965 
   5.2013    5.0351    3.4919   -0.1286   -1.8920   -3.3474   -3.9156   -3.9976 
   7.0990    6.6991    3.4263   -0.1183   -1.8852   -3.3428   -3.9140   -3.9968 
  11.8417   11.5346    4.4833   -0.1047   -1.8769   -3.3386   -3.9114   -3.9968 
   5.3484    5.3531    3.8400   -0.0927   -1.8702   -3.3359   -3.9095   -3.9975 
   7.9086    7.3243    3.5291   -0.0774   -1.8633   -3.3309   -3.9086   -3.9973 
  20.0710   19.0830    5.4279   -0.0588   -1.8547   -3.3274   -3.9067   -3.9977 
   2.0205    2.0049    3.4712   -0.0439   -1.8474   -3.3241   -3.9048   -3.9978 
   8.9810    8.4061    4.0459   -0.0168   -1.8401   -3.3191   -3.9040   -3.9971 
   6.0369    5.9093    4.0463    0.0049   -1.8331   -3.3160   -3.9013   -3.9978 
   1.0003    1.1458    2.8626    0.0256   -1.8268   -3.3116   -3.8999   -3.9980 
   4.5151    3.9004    2.6050    0.0454   -1.8194   -3.3076   -3.8979   -3.9982 
   8.8970    7.9879    3.3338    0.0554   -1.8123   -3.3030   -3.8971   -3.9978 
   0.2097    0.7393    2.5619    0.0590   -1.8057   -3.2991   -3.8948   -3.9981 
  12.0320    9.6654    2.7239    0.0646   -1.7982   -3.2952   -3.8935   -3.9985 
  14.8324   14.7282    4.5931    0.0705   -1.7903   -3.2910   -3.8920   -3.9979 
   9.3208    9.0600    4.1836    0.0769   -1.7856   -3.2870   -3.8892   -3.9990 
   8.7832    8.3355    3.9930    0.0973   -1.7790   -3.2832   -3.8873   -3.9989 
  12.1575   11.9098    4.6309    0.1259   -1.7725   -3.2787   -3.8859   -3.9977 
  11.0005   10.4712    4.5572    0.1509   -1.7662   -3.2755   -3.8848   -3.9986 
   5.3388    4.8976    3.6200    0.1773   -1.7597   -3.2710   -3.8826   -3.9990 
  10.6663    9.4586    4.2132    0.2063   -1.7541   -3.2668   -3.8809   -3.9985 
   2.4480    2.4008    3.1569    0.2236   -1.7490   -3.2635   -3.8802   -3.9988 
  11.7331    8.3409    3.1114    0.2382   -1.7422   -3.2592   -3.8784   -3.9997 
  18.7686   17.5661    5.3137    0.2470   -1.7354   -3.2555   -3.8754   -3.9982 
  10.2310   10.0388    5.0680    0.2537   -1.7301   -3.2513   -3.8736   -3.9985 
  11.3131   10.9915    5.3949    0.2784   -1.7250   -3.2477   -3.8721   -3.9986 
  21.1504   20.1708    6.9503    0.3196   -1.7178   -3.2429   -3.8706   -3.9982 
   0.6402    0.3508    3.9042    0.3623   -1.7146   -3.2399   -3.8678   -3.9984 
  11.6721   10.7551    4.5664    0.4085   -1.7089   -3.2350   -3.8672   -3.9991 
  18.3947   17.3220    6.2063    0.4426   -1.7034   -3.2314   -3.8656   -3.9983 
   6.1851    6.1686    5.0801    0.4593   -1.6984   -3.2281   -3.8638   -3.9985 
   4.6833    4.4251    4.0747    0.4828   -1.6935   -3.2240   -3.8620   -3.9988 
   5.5781    5.6343    4.1040    0.5045   -1.6885   -3.2200   -3.8599   -3.9991 
   1.4789    1.4740    3.1540    0.5089   -1.6841   -3.2163   -3.8590   -3.9990 
   4.4929    3.1322    2.4709    0.5007   -1.6789   -3.2125   -3.8571   -3.9988 
  11.7810   11.7030    4.2479    0.4858   -1.6744   -3.2080   -3.8551   -3.9995 
  -7.0252   -5.5153    1.4140    0.4559   -1.6701   -3.2044   -3.8529   -4.0005 
  12.3057    8.0193    1.3896    0.4283   -1.6652   -3.2004   -3.8510   -3.9998 
  11.0916   11.2003    3.4539    0.3980   -1.6602   -3.1957   -3.8490   -3.9985 
  -2.7158   -1.4931    2.0504    0.3513   -1.6562   -3.1931   -3.8477   -4.0001 
   9.1178    6.9813    1.7201    0.3138   -1.6518   -3.1888   -3.8461   -3.9998 
  14.2624   14.5204    4.0563    0.2876   -1.6465   -3.1852   -3.8439   -3.9985 
  -0.3985    0.4916    2.4750    0.2583   -1.6419   -3.1810   -3.8420   -3.9987 
   9.2637    6.9475    1.7868    0.2448   -1.6384   -3.1779   -3.8407   -3.9988 
  16.0755   16.0578    4.5922    0.2416   -1.6331   -3.1734   -3.8387   -3.9985 
   5.5180    5.4174    3.4543    0.2325   -1.6284   -3.1696   -3.8372   -3.9994 
   5.9931    5.6981    3.3467    0.2408   -1.6260   -3.1661   -3.8351   -3.9986 
   7.1508    7.0296    3.5587    0.2613   -1.6217   -3.1627   -3.8330   -3.9990 
   0.8734    0.7987    2.5447    0.2787   -1.6174   -3.1581   -3.8318   -3.9987 
   5.5346    5.0710    2.6011    0.2955   -1.6135   -3.1551   -3.8303   -3.9982 
  11.2559   10.9161    3.9152    0.3045   -1.6097   -3.1509   -3.8274   -3.9987 
   6.4692    6.3237    3.5743    0.3065   -1.6061   -3.1468   -3.8262   -3.9975 
   7.4185    7.0926    3.7488    0.3173   -1.6009   -3.1433   -3.8248   -3.9984 
   6.8154    6.7859    4.0320    0.3360   -1.5973   -3.1398   -3.8230   -3.9979 
   1.9299    1.8117    2.8197    0.3555   -1.5934   -3.1355   -3.8219   -3.9982 
   3.6945    3.4398    2.5605    0.3761   -1.5901   -3.1319   -3.8194   -3.9986 
  14.5308   13.7742    3.9587    0.3867   -1.5865   -3.1281   -3.8171   -3.9982 
  -1.0127   -0.7801    2.1244    0.3816   -1.5830   -3.1249   -3.8157   -3.9976 
   7.4550    6.4553    2.5847    0.3774   -1.5781   -3.1210   -3.8136   -3.9977 
   8.4791    8.3725    4.0039    0.3696   -1.5746   -3.1176   -3.8116   -3.9970 
   0.1010    0.0234    2.0557    0.3535   -1.5724   -3.1128   -3.8101   -3.9977 
   1.8121    0.4134    1.5580    0.3450   -1.5682   -3.1095   -3.8081   -3.9969 
   6.9320    6.7244    2.4003    0.3350   -1.5649   -3.1060   -3.8070   -3.9973 
   3.2803    2.8983    2.1347    0.3132   -1.5617   -3.1031   -3.8051   -3.9972 
   5.7846    5.4396    2.5769    0.2920   -1.5578   -3.0979   -3.8034   -3.9967 
   2.5278    2.2480    2.1603    0.2759   -1.5545   -3.0955   -3.8015   -3.9960 
  -1.1668   -0.8656    1.3078    0.2615   -1.5517   -3.0918   -3.7997   -3.9968 
   0.4756    0.0452    0.9773    0.2461   -1.5481   -3.0882   -3.7975   -3.9965 
   1.5889    1.5007    1.1200    0.2233   -1.5453   -3.0838   -3.7956   -3.9968 
  -2.4020   -2.1907    0.6571    0.1900   -1.5419   -3.0803   -3.7937   -3.9968 
   3.4658    2.8571    0.7689    0.1547   -1.5401   -3.0770   -3.7924   -3.9959 
   8.6397    8.3833    2.3410    0.1236   -1.5364   -3.0735   -3.7901   -3.9956 
   1.2017    1.3129    1.8989    0.0931   -1.5317   -3.0698   -3.7885   -3.9954 
   4.0820    2.6182    1.1378    0.0783   -1.5290   -3.0672   -3.7870   -3.9960 
  10.0058    9.1803    2.2091    0.0755   -1.5257   -3.0634   -3.7852   -3.9955 
