Date Time	Temp (°C)  #9724974	Temp (°F)  #9724974	Coupler Detached	Coupler Attached	Host Connected	End Of File
08/18/10 14:00:00.0	20,865	69,771	Logged				Details
08/18/10 15:00:00.0	20,174	68,571					Series: Temp, °C
08/18/10 16:00:00.0	6,458	43,900					Devices
08/18/10 17:00:00.0	7,920	47,109					Device Info
08/18/10 18:00:00.0	7,519	45,806					Product: HOBO U23-003 Temp/Temp
08/18/10 19:00:00.0	5,975	42,892					Serial Number: 9724974
08/18/10 20:00:00.0	5,437	41,832					Version Number: 1.09
08/18/10 21:00:00.0	6,255	43,808					Manufacturer: Onset Computer Corporation
08/18/10 22:00:00.0	8,245	47,334					Device Memory: 65536
08/18/10 23:00:00.0	10,271	50,886					Header Created: 08/18/10 10:08:42 GMT-07:00 AM
08/19/10 00:00:00.0	10,492	51,895					Deployment Info
08/19/10 01:00:00.0	10,492	51,984					Full Series Name: Temperature, °C
08/19/10 02:00:00.0	10,369	51,764					Launch Name: 9724974
08/19/10 03:00:00.0	10,198	51,413					Deployment Number: 1
08/19/10 04:00:00.0	9,977	51,017					Launch Time: 08/18/10 01:09:01 GMT-07:00 PM
08/19/10 05:00:00.0	9,756	50,621					Logging Interval: 01 Hr 00 Min 00 Sec
08/19/10 06:00:00.0	9,534	50,135					Launch GMT Offset: -7 Hr 0 Min
08/19/10 07:00:00.0	9,287	49,649					Battery at Launch: 3.43 Volts
08/19/10 08:00:00.0	9,089	49,204					Launching Program: HOBOware-2.2.0_18-RC10
08/19/10 09:00:00.0	9,558	50,621					Series Statistics
08/19/10 10:00:00.0	10,858	52,860					Samples: 21,723
08/19/10 11:00:00.0	12,751	55,299					Max: 23.569
08/19/10 12:00:00.0	12,195	53,776					Min: -34.761
08/19/10 13:00:00.0	11,492	52,641					Avg: -2.543
08/19/10 14:00:00.0	12,074	54,734					Std Dev (σ): 9.823
08/19/10 15:00:00.0	13,209	55,386					First Sample Time: 08/18/10 02:00:00 GMT-07:00 PM
08/19/10 16:00:00.0	10,785	59,616					Last Sample Time: 02/08/13 04:00:00 GMT-07:00 PM
08/19/10 17:00:00.0	9,608	58,582					Series: Temp, °F
08/19/10 18:00:00.0	9,485	57,850					Devices
08/19/10 19:00:00.0	8,220	54,387					Device Info
08/19/10 20:00:00.0	7,770	50,886					Product: HOBO U23-003 Temp/Temp
08/19/10 21:00:00.0	7,393	47,959					Serial Number: 9724974
08/19/10 22:00:00.0	6,839	45,082					Version Number: 1.09
08/19/10 23:00:00.0	6,560	43,763					Manufacturer: Onset Computer Corporation
08/20/10 00:00:00.0	6,382	42,984					Device Memory: 65536
08/20/10 01:00:00.0	6,102	42,341					Header Created: 08/18/10 10:08:42 GMT-07:00 AM
08/20/10 02:00:00.0	5,591	41,787					Deployment Info
08/20/10 03:00:00.0	5,821	41,463					Full Series Name: Temperature, °F
08/20/10 04:00:00.0	5,821	40,998					Launch Name: 9724974
08/20/10 05:00:00.0	5,385	40,858					Deployment Number: 1
08/20/10 06:00:00.0	4,844	40,719					Launch Time: 08/18/10 01:09:01 GMT-07:00 PM
08/20/10 07:00:00.0	4,662	40,672					Logging Interval: 01 Hr 00 Min 00 Sec
08/20/10 08:00:00.0	4,895	41,740					Launch GMT Offset: -7 Hr 0 Min
08/20/10 09:00:00.0	4,973	43,579					Battery at Launch: 3.43 Volts
08/20/10 10:00:00.0	4,714	46,526					Launching Program: HOBOware-2.2.0_18-RC10
08/20/10 11:00:00.0	4,610	46,256					Series Statistics
08/20/10 12:00:00.0	5,334	48,583					Samples: 21,723
08/20/10 13:00:00.0	5,257	50,974					Max: 81.997
08/20/10 14:00:00.0	5,898	52,903					Min: 4.813
08/20/10 15:00:00.0	6,204	54,561					Avg: 32.261
08/20/10 16:00:00.0	7,217	57,592					Std Dev (σ): 11.406
08/20/10 17:00:00.0	6,026	54,343					First Sample Time: 08/18/10 02:00:00 GMT-07:00 PM
08/20/10 18:00:00.0	5,693	51,237					Last Sample Time: 02/08/13 04:00:00 GMT-07:00 PM
08/20/10 19:00:00.0	6,661	51,062					Event Type: Coupler Detached
08/20/10 20:00:00.0	5,847	49,116					Devices
08/20/10 21:00:00.0	4,141	44,809					Device Info
08/20/10 22:00:00.0	4,558	41,740					Product: HOBO U23-003 Temp/Temp
08/20/10 23:00:00.0	4,220	39,830					Serial Number: 9724974
08/21/10 00:00:00.0	4,272	39,877					Version Number: 1.09
08/21/10 01:00:00.0	4,115	38,700					Manufacturer: Onset Computer Corporation
08/21/10 02:00:00.0	3,801	36,795					Device Memory: 65536
08/21/10 03:00:00.0	3,301	35,443					Header Created: 08/18/10 10:08:42 GMT-07:00 AM
08/21/10 04:00:00.0	3,670	36,217					Deployment Info
08/21/10 05:00:00.0	3,958	37,035					Full Series Name: Coupler Detached
08/21/10 06:00:00.0	3,854	37,513					Launch Name: 9724974
08/21/10 07:00:00.0	3,801	38,131					Deployment Number: 1
08/21/10 08:00:00.0	4,037	40,485					Launch Time: 08/18/10 01:09:01 GMT-07:00 PM
08/21/10 09:00:00.0	4,480	43,808					Launch GMT Offset: -7 Hr 0 Min
08/21/10 10:00:00.0	4,688	46,166					Battery at Launch: 3.43 Volts
08/21/10 11:00:00.0	5,796	50,576					Series Statistics
08/21/10 12:00:00.0	5,591	52,992					Samples: 3
08/21/10 13:00:00.0	6,864	55,690					First Sample Time: 08/18/10 02:00:00 GMT-07:00 PM
08/21/10 14:00:00.0	7,820	56,901					Last Sample Time: 07/27/11 11:52:16 GMT-07:00 AM
08/21/10 15:00:00.0	7,645	56,988					Event Type: Coupler Attached
08/21/10 16:00:00.0	7,419	56,988					Devices
08/21/10 17:00:00.0	7,368	55,690					Device Info
08/21/10 18:00:00.0	7,995	56,944					Product: HOBO U23-003 Temp/Temp
08/21/10 19:00:00.0	7,469	52,729					Serial Number: 9724974
08/21/10 20:00:00.0	8,419	50,664					Version Number: 1.09
08/21/10 21:00:00.0	6,737	47,647					Manufacturer: Onset Computer Corporation
08/21/10 22:00:00.0	6,509	43,214					Device Memory: 65536
08/21/10 23:00:00.0	6,306	41,508					Header Created: 08/18/10 10:08:42 GMT-07:00 AM
08/22/10 00:00:00.0	6,077	40,626					Deployment Info
08/22/10 01:00:00.0	5,591	39,454					Full Series Name: Coupler Attached
08/22/10 02:00:00.0	5,308	38,984					Launch Name: 9724974
08/22/10 03:00:00.0	4,895	38,464					Deployment Number: 1
08/22/10 04:00:00.0	4,792	38,037					Launch Time: 08/18/10 01:09:01 GMT-07:00 PM
08/22/10 05:00:00.0	4,428	37,416					Launch GMT Offset: -7 Hr 0 Min
08/22/10 06:00:00.0	4,168	36,603					Battery at Launch: 3.43 Volts
08/22/10 07:00:00.0	4,011	35,492					Series Statistics
08/22/10 08:00:00.0	4,168	36,410					Samples: 2
08/22/10 09:00:00.0	4,636	36,747					First Sample Time: 07/27/11 11:44:41 GMT-07:00 AM
08/22/10 10:00:00.0	5,308	36,698					Last Sample Time: 07/27/11 11:51:51 GMT-07:00 AM
08/22/10 11:00:00.0	7,217	40,438					Event Type: Host Connected
08/22/10 12:00:00.0	7,444	48,583					Devices
08/22/10 13:00:00.0	7,066	46,931					Device Info
08/22/10 14:00:00.0	8,394	50,356					Product: HOBO U23-003 Temp/Temp
08/22/10 15:00:00.0	8,369	49,825					Serial Number: 9724974
08/22/10 16:00:00.0	9,064	48,137					Version Number: 1.09
08/22/10 17:00:00.0	8,891	49,604					Manufacturer: Onset Computer Corporation
08/22/10 18:00:00.0	8,369	50,135					Device Memory: 65536
08/22/10 19:00:00.0	6,839	46,436					Header Created: 08/18/10 10:08:42 GMT-07:00 AM
08/22/10 20:00:00.0	6,661	44,445					Deployment Info
08/22/10 21:00:00.0	5,975	42,386					Full Series Name: Host Connected
08/22/10 22:00:00.0	5,796	41,230					Launch Name: 9724974
08/22/10 23:00:00.0	5,616	40,532					Deployment Number: 1
08/23/10 00:00:00.0	5,154	40,111					Launch Time: 08/18/10 01:09:01 GMT-07:00 PM
08/23/10 01:00:00.0	4,869	39,502					Launch GMT Offset: -7 Hr 0 Min
08/23/10 02:00:00.0	4,818	39,643					Battery at Launch: 3.43 Volts
08/23/10 03:00:00.0	4,662	39,502					Series Statistics
08/23/10 04:00:00.0	4,740	38,700					Samples: 3
08/23/10 05:00:00.0	4,766	37,513					First Sample Time: 07/27/11 11:44:42 GMT-07:00 AM
08/23/10 06:00:00.0	4,220	36,459					Last Sample Time: 07/27/11 11:51:52 GMT-07:00 AM
08/23/10 07:00:00.0	4,428	35,879					Event Type: End Of File
08/23/10 08:00:00.0	4,688	36,554					Devices
08/23/10 09:00:00.0	5,024	39,877					Device Info
08/23/10 10:00:00.0	6,179	43,443					Product: HOBO U23-003 Temp/Temp
08/23/10 11:00:00.0	6,611	47,826					Serial Number: 9724974
08/23/10 12:00:00.0	6,585	47,422					Version Number: 1.09
08/23/10 13:00:00.0	6,230	47,647					Manufacturer: Onset Computer Corporation
08/23/10 14:00:00.0	6,331	48,938					Device Memory: 65536
08/23/10 15:00:00.0	6,331	49,737					Header Created: 08/18/10 10:08:42 GMT-07:00 AM
08/23/10 16:00:00.0	5,975	49,249					Deployment Info
08/23/10 17:00:00.0	5,745	49,116					Full Series Name: End Of File
08/23/10 18:00:00.0	5,385	47,557					Launch Name: 9724974
08/23/10 19:00:00.0	5,308	46,346					Deployment Number: 1
08/23/10 20:00:00.0	5,231	45,082					Launch Time: 08/18/10 01:09:01 GMT-07:00 PM
08/23/10 21:00:00.0	5,024	43,351					Launch GMT Offset: -7 Hr 0 Min
08/23/10 22:00:00.0	5,128	41,925					Battery at Launch: 3.43 Volts
08/23/10 23:00:00.0	4,740	40,719					Series Statistics
08/24/10 00:00:00.0	4,921	40,719					Samples: 1
08/24/10 01:00:00.0	4,818	40,111					First Sample Time: 02/08/13 04:00:00 GMT-07:00 PM
08/24/10 02:00:00.0	4,298	38,606					Last Sample Time: 02/08/13 04:00:00 GMT-07:00 PM
08/24/10 03:00:00.0	4,350	38,226				
08/24/10 04:00:00.0	4,194	38,511				
08/24/10 05:00:00.0	4,350	38,511				
08/24/10 06:00:00.0	4,298	39,407				
08/24/10 07:00:00.0	3,932	39,124				
08/24/10 08:00:00.0	4,636	39,830				
08/24/10 09:00:00.0	4,558	41,043				
08/24/10 10:00:00.0	4,636	43,808				
08/24/10 11:00:00.0	5,898	49,428				
08/24/10 12:00:00.0	6,102	51,105				
08/24/10 13:00:00.0	6,204	50,047				
08/24/10 14:00:00.0	6,965	53,166				
08/24/10 15:00:00.0	7,770	56,251				
08/24/10 16:00:00.0	6,813	53,298				
08/24/10 17:00:00.0	7,745	55,125				
08/24/10 18:00:00.0	8,070	54,604				
08/24/10 19:00:00.0	7,770	54,691				
08/24/10 20:00:00.0	6,940	49,692				
08/24/10 21:00:00.0	6,661	46,481				
08/24/10 22:00:00.0	6,889	44,719				
08/24/10 23:00:00.0	5,975	43,945				
08/25/10 00:00:00.0	5,898	43,443				
08/25/10 01:00:00.0	5,821	42,984				
08/25/10 02:00:00.0	5,360	42,847				
08/25/10 03:00:00.0	5,154	42,800				
08/25/10 04:00:00.0	4,947	42,433				
08/25/10 05:00:00.0	4,454	42,017				
08/25/10 06:00:00.0	4,454	41,508				
08/25/10 07:00:00.0	4,011	41,137				
08/25/10 08:00:00.0	4,194	41,463				
08/25/10 09:00:00.0	4,376	42,708				
08/25/10 10:00:00.0	4,532	44,218				
08/25/10 11:00:00.0	4,818	48,717				
08/25/10 12:00:00.0	5,539	51,325				
08/25/10 13:00:00.0	5,719	51,017				
08/25/10 14:00:00.0	5,847	50,576				
08/25/10 15:00:00.0	6,763	56,340				
08/25/10 16:00:00.0	6,357	60,003				
08/25/10 17:00:00.0	5,924	50,621				
08/25/10 18:00:00.0	6,077	50,709				
08/25/10 19:00:00.0	6,051	52,029				
08/25/10 20:00:00.0	5,102	48,450				
08/25/10 21:00:00.0	4,947	45,624				
08/25/10 22:00:00.0	5,076	44,173				
08/25/10 23:00:00.0	4,792	43,579				
08/26/10 00:00:00.0	4,818	42,984				
08/26/10 01:00:00.0	4,610	42,616				
08/26/10 02:00:00.0	4,506	42,247				
08/26/10 03:00:00.0	4,376	41,693				
08/26/10 04:00:00.0	4,246	41,508				
08/26/10 05:00:00.0	4,298	40,017				
08/26/10 06:00:00.0	4,506	40,532				
08/26/10 07:00:00.0	4,376	40,626				
08/26/10 08:00:00.0	4,610	40,905				
08/26/10 09:00:00.0	4,610	41,322				
08/26/10 10:00:00.0	4,714	42,708				
08/26/10 11:00:00.0	4,766	44,355				
08/26/10 12:00:00.0	4,792	44,719				
08/26/10 13:00:00.0	5,437	49,028				
08/26/10 14:00:00.0	6,408	50,002				
08/26/10 15:00:00.0	4,376	44,218				
08/26/10 16:00:00.0	4,921	37,321				
08/26/10 17:00:00.0	6,611	47,871				
08/26/10 18:00:00.0	6,611	54,212				
08/26/10 19:00:00.0	5,847	47,199				
08/26/10 20:00:00.0	7,217	47,019				
08/26/10 21:00:00.0	5,565	43,716				
08/26/10 22:00:00.0	5,616	39,031				
08/26/10 23:00:00.0	5,282	37,369				
08/27/10 00:00:00.0	5,179	35,638				
08/27/10 01:00:00.0	4,895	34,761				
08/27/10 02:00:00.0	4,584	33,386				
08/27/10 03:00:00.0	4,636	33,831				
08/27/10 04:00:00.0	4,194	34,075				
08/27/10 05:00:00.0	3,985	33,978				
08/27/10 06:00:00.0	3,827	33,928				
08/27/10 07:00:00.0	3,880	33,879				
08/27/10 08:00:00.0	4,063	33,928				
08/27/10 09:00:00.0	4,350	33,978				
08/27/10 10:00:00.0	4,921	33,978				
08/27/10 11:00:00.0	5,975	34,223				
08/27/10 12:00:00.0	6,990	45,534				
08/27/10 13:00:00.0	8,469	52,246				
08/27/10 14:00:00.0	9,509	55,906				
08/27/10 15:00:00.0	10,051	55,038				
08/27/10 16:00:00.0	10,467	52,641				
08/27/10 17:00:00.0	11,078	53,994				
08/27/10 18:00:00.0	11,589	58,498				
08/27/10 19:00:00.0	11,248	58,498				
