"Plot Title: 9724974"
#,Date Time,Temp (°F) LGR S/N: 9724974 c:1,Temp (°F) LGR S/N: 9724974 c:2,Coupler Detached LGR S/N: 9724974,Coupler Attached LGR S/N: 9724974,Host Connected LGR S/N: 9724974,End Of File LGR S/N: 9724974
1,10-08-18 02:00:00  PM,69 557,69 771,Logged,,,
2,10-08-18 03:00:00  PM,68 313,68 571,,,,
3,10-08-18 04:00:00  PM,43 624,43 900,,,,
4,10-08-18 05:00:00  PM,46 256,47 109,,,,
5,10-08-18 06:00:00  PM,45 534,45 806,,,,
6,10-08-18 07:00:00  PM,42 755,42 892,,,,
7,10-08-18 08:00:00  PM,41 787,41 832,,,,
8,10-08-18 09:00:00  PM,43 259,43 808,,,,
9,10-08-18 10:00:00  PM,46 841,47 334,,,,
10,10-08-18 11:00:00  PM,50 488,50 886,,,,
11,10-08-19 12:00:00  AM,50 886,51 895,,,,
12,10-08-19 01:00:00  AM,50 886,51 984,,,,
13,10-08-19 02:00:00  AM,50 664,51 764,,,,
14,10-08-19 03:00:00  AM,50 356,51 413,,,,
15,10-08-19 04:00:00  AM,49 959,51 017,,,,
16,10-08-19 05:00:00  AM,49 561,50 621,,,,
17,10-08-19 06:00:00  AM,49 161,50 135,,,,
18,10-08-19 07:00:00  AM,48 717,49 649,,,,
19,10-08-19 08:00:00  AM,48 360,49 204,,,,
20,10-08-19 09:00:00  AM,49 204,50 621,,,,
21,10-08-19 10:00:00  AM,51 544,52 860,,,,
22,10-08-19 11:00:00  AM,54 952,55 299,,,,
23,10-08-19 12:00:00  PM,53 951,53 776,,,,
24,10-08-19 01:00:00  PM,52 686,52 641,,,,
25,10-08-19 02:00:00  PM,53 733,54 734,,,,
26,10-08-19 03:00:00  PM,55 776,55 386,,,,
27,10-08-19 04:00:00  PM,51 413,59 616,,,,
28,10-08-19 05:00:00  PM,49 294,58 582,,,,
29,10-08-19 06:00:00  PM,49 073,57 850,,,,
30,10-08-19 07:00:00  PM,46 796,54 387,,,,
31,10-08-19 08:00:00  PM,45 986,50 886,,,,
32,10-08-19 09:00:00  PM,45 307,47 959,,,,
33,10-08-19 10:00:00  PM,44 310,45 082,,,,
34,10-08-19 11:00:00  PM,43 808,43 763,,,,
35,10-08-20 12:00:00  AM,43 488,42 984,,,,
36,10-08-20 01:00:00  AM,42 984,42 341,,,,
37,10-08-20 02:00:00  AM,42 064,41 787,,,,
38,10-08-20 03:00:00  AM,42 478,41 463,,,,
39,10-08-20 04:00:00  AM,42 478,40 998,,,,
40,10-08-20 05:00:00  AM,41 693,40 858,,,,
41,10-08-20 06:00:00  AM,40 719,40 719,,,,
42,10-08-20 07:00:00  AM,40 392,40 672,,,,
43,10-08-20 08:00:00  AM,40 811,41 740,,,,
44,10-08-20 09:00:00  AM,40 951,43 579,,,,
45,10-08-20 10:00:00  AM,40 485,46 526,,,,
46,10-08-20 11:00:00  AM,40 298,46 256,,,,
47,10-08-20 12:00:00  PM,41 601,48 583,,,,
48,10-08-20 01:00:00  PM,41 463,50 974,,,,
49,10-08-20 02:00:00  PM,42 616,52 903,,,,
50,10-08-20 03:00:00  PM,43 167,54 561,,,,
51,10-08-20 04:00:00  PM,44 991,57 592,,,,
52,10-08-20 05:00:00  PM,42 847,54 343,,,,
53,10-08-20 06:00:00  PM,42 247,51 237,,,,
54,10-08-20 07:00:00  PM,43 990,51 062,,,,
55,10-08-20 08:00:00  PM,42 525,49 116,,,,
