"Plot Title: 9724974"
"#","Date","Time, GMT-07:00","Temp, °C (LGR S/N: 9724974, SEN S/N: 9724974)","Temp, °C (LGR S/N: 9724974, SEN S/N: 9724974)","Coupler Detached (LGR S/N: 9724974, SEN S/N: 9724974)","Coupler Attached (LGR S/N: 9724974, SEN S/N: 9724974)","Host Connected (LGR S/N: 9724974, SEN S/N: 9724974)","End Of File (LGR S/N: 9724974, SEN S/N: 9724974)"
1,08/18/10,02:00:00 PM,20.865,20.984,Logged,,,
2,08/18/10,03:00:00 PM,20.174,20.317,,,,
3,08/18/10,04:00:00 PM,6.458,6.611,,,,
4,08/18/10,05:00:00 PM,7.920,8.394,,,,
5,08/18/10,06:00:00 PM,7.519,7.670,,,,
6,08/18/10,07:00:00 PM,5.975,6.051,,,,
7,08/18/10,08:00:00 PM,5.437,5.462,,,,
8,08/18/10,09:00:00 PM,6.255,6.560,,,,
9,08/18/10,10:00:00 PM,8.245,8.519,,,,
10,08/18/10,11:00:00 PM,10.271,10.492,,,,
11,08/19/10,12:00:00 AM,10.492,11.053,,,,
12,08/19/10,01:00:00 AM,10.492,11.102,,,,
13,08/19/10,02:00:00 AM,10.369,10.980,,,,
14,08/19/10,03:00:00 AM,10.198,10.785,,,,
15,08/19/10,04:00:00 AM,9.977,10.565,,,,
16,08/19/10,05:00:00 AM,9.756,10.345,,,,
17,08/19/10,06:00:00 AM,9.534,10.075,,,,
18,08/19/10,07:00:00 AM,9.287,9.805,,,,
19,08/19/10,08:00:00 AM,9.089,9.558,,,,
20,08/19/10,09:00:00 AM,9.558,10.345,,,,
21,08/19/10,10:00:00 AM,10.858,11.589,,,,
22,08/19/10,11:00:00 AM,12.751,12.944,,,,
23,08/19/10,12:00:00 PM,12.195,12.098,,,,
24,08/19/10,01:00:00 PM,11.492,11.467,,,,
25,08/19/10,02:00:00 PM,12.074,12.630,,,,
26,08/19/10,03:00:00 PM,13.209,12.992,,,,
27,08/19/10,04:00:00 PM,10.785,15.342,,,,
28,08/19/10,05:00:00 PM,9.608,14.768,,,,
29,08/19/10,06:00:00 PM,9.485,14.361,,,,
30,08/19/10,07:00:00 PM,8.220,12.437,,,,
31,08/19/10,08:00:00 PM,7.770,10.492,,,,
32,08/19/10,09:00:00 PM,7.393,8.866,,,,
33,08/19/10,10:00:00 PM,6.839,7.268,,,,
34,08/19/10,11:00:00 PM,6.560,6.535,,,,
35,08/20/10,12:00:00 AM,6.382,6.102,,,,
36,08/20/10,01:00:00 AM,6.102,5.745,,,,
37,08/20/10,02:00:00 AM,5.591,5.437,,,,
38,08/20/10,03:00:00 AM,5.821,5.257,,,,
39,08/20/10,04:00:00 AM,5.821,4.999,,,,
40,08/20/10,05:00:00 AM,5.385,4.921,,,,
41,08/20/10,06:00:00 AM,4.844,4.844,,,,
42,08/20/10,07:00:00 AM,4.662,4.818,,,,
43,08/20/10,08:00:00 AM,4.895,5.411,,,,
44,08/20/10,09:00:00 AM,4.973,6.433,,,,
45,08/20/10,10:00:00 AM,4.714,8.070,,,,
46,08/20/10,11:00:00 AM,4.610,7.920,,,,
47,08/20/10,12:00:00 PM,5.334,9.213,,,,
48,08/20/10,01:00:00 PM,5.257,10.541,,,,
49,08/20/10,02:00:00 PM,5.898,11.613,,,,
50,08/20/10,03:00:00 PM,6.204,12.534,,,,
51,08/20/10,04:00:00 PM,7.217,14.218,,,,
52,08/20/10,05:00:00 PM,6.026,12.413,,,,
53,08/20/10,06:00:00 PM,5.693,10.687,,,,
54,08/20/10,07:00:00 PM,6.661,10.590,,,,
55,08/20/10,08:00:00 PM,5.847,9.509,,,,
56,08/20/10,09:00:00 PM,4.141,7.116,,,,
57,08/20/10,10:00:00 PM,4.558,5.411,,,,
58,08/20/10,11:00:00 PM,4.220,4.350,,,,
59,08/21/10,12:00:00 AM,4.272,4.376,,,,
60,08/21/10,01:00:00 AM,4.115,3.722,,,,
61,08/21/10,02:00:00 AM,3.801,2.664,,,,
62,08/21/10,03:00:00 AM,3.301,1.913,,,,
63,08/21/10,04:00:00 AM,3.670,2.343,,,,
64,08/21/10,05:00:00 AM,3.958,2.797,,,,
65,08/21/10,06:00:00 AM,3.854,3.063,,,,
66,08/21/10,07:00:00 AM,3.801,3.406,,,,
67,08/21/10,08:00:00 AM,4.037,4.714,,,,
68,08/21/10,09:00:00 AM,4.480,6.560,,,,
69,08/21/10,10:00:00 AM,4.688,7.870,,,,
70,08/21/10,11:00:00 AM,5.796,10.320,,,,
71,08/21/10,12:00:00 PM,5.591,11.662,,,,
72,08/21/10,01:00:00 PM,6.864,13.161,,,,
73,08/21/10,02:00:00 PM,7.820,13.834,,,,
74,08/21/10,03:00:00 PM,7.645,13.882,,,,
75,08/21/10,04:00:00 PM,7.419,13.882,,,,
76,08/21/10,05:00:00 PM,7.368,13.161,,,,
77,08/21/10,06:00:00 PM,7.995,13.858,,,,
78,08/21/10,07:00:00 PM,7.469,11.516,,,,
79,08/21/10,08:00:00 PM,8.419,10.369,,,,
80,08/21/10,09:00:00 PM,6.737,8.693,,,,
81,08/21/10,10:00:00 PM,6.509,6.230,,,,
82,08/21/10,11:00:00 PM,6.306,5.282,,,,
83,08/22/10,12:00:00 AM,6.077,4.792,,,,
84,08/22/10,01:00:00 AM,5.591,4.141,,,,
85,08/22/10,02:00:00 AM,5.308,3.880,,,,
86,08/22/10,03:00:00 AM,4.895,3.591,,,,
87,08/22/10,04:00:00 AM,4.792,3.354,,,,
88,08/22/10,05:00:00 AM,4.428,3.009,,,,
89,08/22/10,06:00:00 AM,4.168,2.557,,,,
90,08/22/10,07:00:00 AM,4.011,1.940,,,,
91,08/22/10,08:00:00 AM,4.168,2.450,,,,
92,08/22/10,09:00:00 AM,4.636,2.637,,,,
93,08/22/10,10:00:00 AM,5.308,2.610,,,,
94,08/22/10,11:00:00 AM,7.217,4.688,,,,
95,08/22/10,12:00:00 PM,7.444,9.213,,,,
96,08/22/10,01:00:00 PM,7.066,8.295,,,,
97,08/22/10,02:00:00 PM,8.394,10.198,,,,
98,08/22/10,03:00:00 PM,8.369,9.903,,,,
99,08/22/10,04:00:00 PM,9.064,8.965,,,,
100,08/22/10,05:00:00 PM,8.891,9.780,,,,
101,08/22/10,06:00:00 PM,8.369,10.075,,,,
102,08/22/10,07:00:00 PM,6.839,8.020,,,,
103,08/22/10,08:00:00 PM,6.661,6.914,,,,
104,08/22/10,09:00:00 PM,5.975,5.770,,,,
105,08/22/10,10:00:00 PM,5.796,5.128,,,,
106,08/22/10,11:00:00 PM,5.616,4.740,,,,
107,08/23/10,12:00:00 AM,5.154,4.506,,,,
108,08/23/10,01:00:00 AM,4.869,4.168,,,,
109,08/23/10,02:00:00 AM,4.818,4.246,,,,
110,08/23/10,03:00:00 AM,4.662,4.168,,,,
111,08/23/10,04:00:00 AM,4.740,3.722,,,,
112,08/23/10,05:00:00 AM,4.766,3.063,,,,
113,08/23/10,06:00:00 AM,4.220,2.477,,,,
114,08/23/10,07:00:00 AM,4.428,2.155,,,,
115,08/23/10,08:00:00 AM,4.688,2.530,,,,
116,08/23/10,09:00:00 AM,5.024,4.376,,,,
117,08/23/10,10:00:00 AM,6.179,6.357,,,,
118,08/23/10,11:00:00 AM,6.611,8.792,,,,
119,08/23/10,12:00:00 PM,6.585,8.568,,,,
120,08/23/10,01:00:00 PM,6.230,8.693,,,,
121,08/23/10,02:00:00 PM,6.331,9.410,,,,
122,08/23/10,03:00:00 PM,6.331,9.854,,,,
123,08/23/10,04:00:00 PM,5.975,9.583,,,,
124,08/23/10,05:00:00 PM,5.745,9.509,,,,
125,08/23/10,06:00:00 PM,5.385,8.643,,,,
126,08/23/10,07:00:00 PM,5.308,7.970,,,,
127,08/23/10,08:00:00 PM,5.231,7.268,,,,
128,08/23/10,09:00:00 PM,5.024,6.306,,,,
129,08/23/10,10:00:00 PM,5.128,5.514,,,,
130,08/23/10,11:00:00 PM,4.740,4.844,,,,
131,08/24/10,12:00:00 AM,4.921,4.844,,,,
132,08/24/10,01:00:00 AM,4.818,4.506,,,,
133,08/24/10,02:00:00 AM,4.298,3.670,,,,
134,08/24/10,03:00:00 AM,4.350,3.459,,,,
135,08/24/10,04:00:00 AM,4.194,3.617,,,,
136,08/24/10,05:00:00 AM,4.350,3.617,,,,
137,08/24/10,06:00:00 AM,4.298,4.115,,,,
138,08/24/10,07:00:00 AM,3.932,3.958,,,,
139,08/24/10,08:00:00 AM,4.636,4.350,,,,
140,08/24/10,09:00:00 AM,4.558,5.024,,,,
