"Plot Title: 9724974"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9724974, SEN S/N: 9724974)","Temp, °F (LGR S/N: 9724974, SEN S/N: 9724974)","Coupler Detached (LGR S/N: 9724974)","Coupler Attached (LGR S/N: 9724974)","Host Connected (LGR S/N: 9724974)","End Of File (LGR S/N: 9724974)"
1,08/18/10 02:00:00  PM,69.557,69.771,Logged,,,
2,08/18/10 03:00:00  PM,68.313,68.571,,,,
3,08/18/10 04:00:00  PM,43.624,43.900,,,,
4,08/18/10 05:00:00  PM,46.256,47.109,,,,
5,08/18/10 06:00:00  PM,45.534,45.806,,,,
6,08/18/10 07:00:00  PM,42.755,42.892,,,,
7,08/18/10 08:00:00  PM,41.787,41.832,,,,
8,08/18/10 09:00:00  PM,43.259,43.808,,,,
9,08/18/10 10:00:00  PM,46.841,47.334,,,,
10,08/18/10 11:00:00  PM,50.488,50.886,,,,
11,08/19/10 12:00:00  AM,50.886,51.895,,,,
12,08/19/10 01:00:00  AM,50.886,51.984,,,,
13,08/19/10 02:00:00  AM,50.664,51.764,,,,
14,08/19/10 03:00:00  AM,50.356,51.413,,,,
15,08/19/10 04:00:00  AM,49.959,51.017,,,,
16,08/19/10 05:00:00  AM,49.561,50.621,,,,
17,08/19/10 06:00:00  AM,49.161,50.135,,,,
18,08/19/10 07:00:00  AM,48.717,49.649,,,,
19,08/19/10 08:00:00  AM,48.360,49.204,,,,
20,08/19/10 09:00:00  AM,49.204,50.621,,,,
21,08/19/10 10:00:00  AM,51.544,52.860,,,,
22,08/19/10 11:00:00  AM,54.952,55.299,,,,
23,08/19/10 12:00:00  PM,53.951,53.776,,,,
24,08/19/10 01:00:00  PM,52.686,52.641,,,,
25,08/19/10 02:00:00  PM,53.733,54.734,,,,
26,08/19/10 03:00:00  PM,55.776,55.386,,,,
27,08/19/10 04:00:00  PM,51.413,59.616,,,,
28,08/19/10 05:00:00  PM,49.294,58.582,,,,
29,08/19/10 06:00:00  PM,49.073,57.850,,,,
30,08/19/10 07:00:00  PM,46.796,54.387,,,,
31,08/19/10 08:00:00  PM,45.986,50.886,,,,
32,08/19/10 09:00:00  PM,45.307,47.959,,,,
33,08/19/10 10:00:00  PM,44.310,45.082,,,,
34,08/19/10 11:00:00  PM,43.808,43.763,,,,
35,08/20/10 12:00:00  AM,43.488,42.984,,,,
