"Date Time, GMT-07:00";"Temp, °F";"Temp, °F";"Coupler Detached";"Coupler Attached";"Host Connected";"End Of File"
18-08-10 14:00:00;69,557;69,771;Logged;;;
18-08-10 15:00:00;68,313;68,571;;;;
18-08-10 16:00:00;43,624;43,900;;;;
18-08-10 17:00:00;46,256;47,109;;;;
18-08-10 18:00:00;45,534;45,806;;;;
18-08-10 19:00:00;42,755;42,892;;;;
18-08-10 20:00:00;41,787;41,832;;;;
18-08-10 21:00:00;43,259;43,808;;;;
18-08-10 22:00:00;46,841;47,334;;;;
18-08-10 23:00:00;50,488;50,886;;;;
19-08-10 00:00:00;50,886;51,895;;;;
19-08-10 01:00:00;50,886;51,984;;;;
19-08-10 02:00:00;50,664;51,764;;;;
19-08-10 03:00:00;50,356;51,413;;;;
19-08-10 04:00:00;49,959;51,017;;;;
19-08-10 05:00:00;49,561;50,621;;;;
19-08-10 06:00:00;49,161;50,135;;;;
19-08-10 07:00:00;48,717;49,649;;;;
19-08-10 08:00:00;48,360;49,204;;;;
19-08-10 09:00:00;49,204;50,621;;;;
19-08-10 10:00:00;51,544;52,860;;;;
19-08-10 11:00:00;54,952;55,299;;;;
19-08-10 12:00:00;53,951;53,776;;;;
19-08-10 13:00:00;52,686;52,641;;;;
19-08-10 14:00:00;53,733;54,734;;;;
19-08-10 15:00:00;55,776;55,386;;;;
19-08-10 16:00:00;51,413;59,616;;;;
19-08-10 17:00:00;49,294;58,582;;;;
19-08-10 18:00:00;49,073;57,850;;;;
19-08-10 19:00:00;46,796;54,387;;;;
19-08-10 20:00:00;45,986;50,886;;;;
19-08-10 21:00:00;45,307;47,959;;;;
19-08-10 22:00:00;44,310;45,082;;;;
19-08-10 23:00:00;43,808;43,763;;;;
20-08-10 00:00:00;43,488;42,984;;;;
20-08-10 01:00:00;42,984;42,341;;;;
20-08-10 02:00:00;42,064;41,787;;;;
20-08-10 03:00:00;42,478;41,463;;;;
20-08-10 04:00:00;42,478;40,998;;;;
20-08-10 05:00:00;41,693;40,858;;;;
20-08-10 06:00:00;40,719;40,719;;;;
20-08-10 07:00:00;40,392;40,672;;;;
20-08-10 08:00:00;40,811;41,740;;;;
20-08-10 09:00:00;40,951;43,579;;;;
20-08-10 10:00:00;40,485;46,526;;;;
20-08-10 11:00:00;40,298;46,256;;;;
20-08-10 12:00:00;41,601;48,583;;;;
20-08-10 13:00:00;41,463;50,974;;;;
20-08-10 14:00:00;42,616;52,903;;;;
20-08-10 15:00:00;43,167;54,561;;;;
20-08-10 16:00:00;44,991;57,592;;;;
