Date Time,Temp (°C)  #9724974,Temp (°C)  #9724974,Coupler Detached,Coupler Attached,Host Connected,End Of File
08/18/10 14:00:00.0,20865,20984,Logged,,,,Details
08/18/10 15:00:00.0,20174,20317,,,,,Series: Temp, °C
08/18/10 16:00:00.0,6458,6611,,,,,Devices
08/18/10 17:00:00.0,7920,8394,,,,,Device Info
08/18/10 18:00:00.0,7519,7670,,,,,Product: HOBO U23-003 Temp/Temp
08/18/10 19:00:00.0,5975,6051,,,,,Serial Number: 9724974
08/18/10 20:00:00.0,5437,5462,,,,,Version Number: 1.09
08/18/10 21:00:00.0,6255,6560,,,,,Manufacturer: Onset Computer Corporation
08/18/10 22:00:00.0,8245,8519,,,,,Device Memory: 65536
08/18/10 23:00:00.0,10271,10492,,,,,Header Created: 08/18/10 10:08:42 GMT-07:00 AM
08/19/10 00:00:00.0,10492,11053,,,,,Deployment Info
08/19/10 01:00:00.0,10492,11102,,,,,Full Series Name: Temperature, °C
08/19/10 02:00:00.0,10369,10980,,,,,Launch Name: 9724974
08/19/10 03:00:00.0,10198,10785,,,,,Deployment Number: 1
08/19/10 04:00:00.0,9977,10565,,,,,Launch Time: 08/18/10 01:09:01 GMT-07:00 PM
08/19/10 05:00:00.0,9756,10345,,,,,Logging Interval: 01 Hr 00 Min 00 Sec
08/19/10 06:00:00.0,9534,10075,,,,,Launch GMT Offset: -7 Hr 0 Min
08/19/10 07:00:00.0,9287,9805,,,,,Battery at Launch: 3.43 Volts
08/19/10 08:00:00.0,9089,9558,,,,,Launching Program: HOBOware-2.2.0_18-RC10
08/19/10 09:00:00.0,9558,10345,,,,,Series Statistics
08/19/10 10:00:00.0,10858,11589,,,,,Samples: 21,723
08/19/10 11:00:00.0,12751,12944,,,,,Max: 23.569
08/19/10 12:00:00.0,12195,12098,,,,,Min: -34.761
08/19/10 13:00:00.0,11492,11467,,,,,Avg: -2.543
08/19/10 14:00:00.0,12074,12630,,,,,Std Dev (σ): 9.823
08/19/10 15:00:00.0,13209,12992,,,,,First Sample Time: 08/18/10 02:00:00 GMT-07:00 PM
08/19/10 16:00:00.0,10785,15342,,,,,Last Sample Time: 02/08/13 04:00:00 GMT-07:00 PM
08/19/10 17:00:00.0,9608,14768,,,,,Series: Temp, °C
08/19/10 18:00:00.0,9485,14361,,,,,Devices
08/19/10 19:00:00.0,8220,12437,,,,,Device Info
