Date,Time,cm_0,cm_50,cm_75,cm_150,cm_250,cm_400
19/08/2016,12:00:00,-11111,-11111,-11111,-11111,-11111,-11111
19/08/2016,14:00:00,-11111,-11111,-11111,-11111,-11111,-11111
19/08/2016,16:00:00,-11111,-11111,-11111,-11111,-11111,-11111
19/08/2016,18:00:00,20.531,9.114,1.751,-0.06,-0.004,-0.088
19/08/2016,20:00:00,17.177,8.817,1.344,-0.06,-0.06,-0.088
19/08/2016,22:00:00,12.219,8.519,1.099,-0.06,-0.06,-0.116
20/08/2016,0:00:00,9.213,8.195,0.88,-0.06,-0.06,-0.116
20/08/2016,2:00:00,6.051,7.87,0.715,-0.06,-0.088,-0.116
20/08/2016,4:00:00,4.584,7.594,0.632,-0.06,-0.088,-0.116
20/08/2016,6:00:00,6.306,7.318,0.577,-0.06,-0.088,-0.116
20/08/2016,8:00:00,7.945,7.066,0.522,-0.06,-0.088,-0.116
20/08/2016,10:00:00,12.775,6.864,0.495,-0.06,-0.06,-0.116
20/08/2016,12:00:00,19.318,6.636,0.495,-0.06,-0.06,-0.116
20/08/2016,14:00:00,15.652,6.433,0.467,-0.06,-0.06,-0.116
20/08/2016,16:00:00,16.939,6.255,0.439,-0.06,-0.06,-0.143
20/08/2016,18:00:00,14.84,6.077,0.412,-0.06,-0.06,-0.143
20/08/2016,20:00:00,12.389,5.924,0.412,-0.06,-0.06,-0.143
20/08/2016,22:00:00,7.72,5.745,0.384,-0.06,-0.088,-0.143
21/08/2016,0:00:00,6.535,5.616,0.384,-0.06,-0.088,-0.143
21/08/2016,2:00:00,7.343,5.462,0.384,-0.06,-0.088,-0.171
21/08/2016,4:00:00,7.041,5.36,0.356,-0.06,-0.088,-0.171
21/08/2016,6:00:00,6.661,5.231,0.356,-0.06,-0.088,-0.171
21/08/2016,8:00:00,8.045,5.128,0.329,-0.06,-0.088,-0.171
21/08/2016,10:00:00,10.736,5.024,0.329,-0.06,-0.088,-0.171
21/08/2016,12:00:00,10.785,4.921,0.329,-0.06,-0.088,-0.171
21/08/2016,14:00:00,11.613,4.818,0.329,-0.06,-0.088,-0.171
21/08/2016,16:00:00,11.734,4.74,0.329,-0.06,-0.088,-0.171
21/08/2016,18:00:00,11.613,4.636,0.329,-0.06,-0.088,-0.171
21/08/2016,20:00:00,10.173,4.558,0.329,-0.06,-0.088,-0.171
21/08/2016,22:00:00,9.139,4.48,0.301,-0.06,-0.088,-0.171
22/08/2016,0:00:00,8.543,4.402,0.301,-0.06,-0.088,-0.171
22/08/2016,2:00:00,8.369,4.324,0.301,-0.06,-0.088,-0.171
22/08/2016,4:00:00,8.394,4.246,0.301,-0.06,-0.088,-0.171
22/08/2016,6:00:00,8.319,4.194,0.301,-0.06,-0.088,-0.171
22/08/2016,8:00:00,8.543,4.115,0.301,-0.06,-0.088,-0.171
22/08/2016,10:00:00,10.81,4.063,0.273,-0.06,-0.088,-0.171
22/08/2016,12:00:00,13.93,4.011,0.273,-0.06,-0.088,-0.171
22/08/2016,14:00:00,17.938,3.958,0.273,-0.06,-0.06,-0.171
22/08/2016,16:00:00,16.368,3.906,0.273,-0.06,-0.06,-0.171
22/08/2016,18:00:00,14.697,3.854,0.273,-0.06,-0.06,-0.171
22/08/2016,20:00:00,11.807,3.801,0.273,-0.06,-0.088,-0.171
22/08/2016,22:00:00,5.719,3.749,0.246,-0.06,-0.088,-0.171
23/08/2016,0:00:00,2.343,3.696,0.246,-0.06,-0.088,-0.171
23/08/2016,2:00:00,0.439,3.643,0.246,-0.06,-0.088,-0.171
